Sports,Sex,Gold_Medal,Silver_Medal,Bronze_Medal,Total_Medals
aquatics,Male,42,50,46,138
archery,Male,4,4,4,12
athletics,Male,34,31,31,96
badminton,Male,4,4,4,12
basketball,Male,12,0,12,24
boxing,Male,10,10,20,40
canoe,Male,18,16,20,54
cycling,Male,14,15,15,44
equestrian,Male,10,7,10,27
fencing,Male,10,11,11,32
football,Male,18,18,18,54
golf,Male,1,2,1,4
gymnastics,Male,13,13,13,39
handball,Male,14,15,15,44
hockey,Male,18,16,16,50
judo,Male,7,7,14,28
modern pentathlon,Male,1,1,1,3
rowing,Male,28,28,28,84
rugby sevens,Male,13,12,13,38
sailing,Male,8,8,8,24
shooting,Male,8,9,8,25
table tennis,Male,4,4,4,12
taekwondo,Male,4,4,8,16
tennis,Male,4,2,4,10
triathlon,Male,1,1,1,3
volleyball,Male,14,14,14,42
weightlifting,Male,8,8,7,23
wrestling,Male,11,12,23,46
aquatics,Female,42,50,46,138
archery,Female,4,4,4,12
athletics,Female,34,31,31,96
badminton,Female,4,4,4,12
basketball,Female,12,0,12,24
boxing,Female,10,10,20,40
canoe,Female,18,16,20,54
cycling,Female,14,15,15,44
equestrian,Female,10,7,10,27
fencing,Female,10,11,11,32
football,Female,18,18,18,54
golf,Female,1,2,1,4
gymnastics,Female,13,13,13,39
handball,Female,14,15,15,44
hockey,Female,18,16,16,50
judo,Female,7,7,14,28
modern pentathlon,Female,1,1,1,3
rowing,Female,28,28,28,84
rugby sevens,Female,13,12,13,38
sailing,Female,8,8,8,24
shooting,Female,8,9,8,25
table tennis,Female,4,4,4,12
taekwondo,Female,4,4,8,16
tennis,Female,4,2,4,10
triathlon,Female,1,1,1,3
volleyball,Female,14,14,14,42
weightlifting,Female,8,8,7,23
wrestling,Female,11,12,23,46
