Country,Gold_Medal,Silver_Medal,Bronze_Medal
Afghanistan,0,0,0
Albania,0,0,0
Algeria,0,2,0
American Samoa*,0,0,0
Andorra,0,0,0
Angola,0,0,0
Antigua and Barbuda,0,0,0
Argentina,21,1,0
Armenia,1,3,0
Aruba*,0,0,0
Australia,23,34,25
Austria,0,0,2
Azerbaijan,1,7,10
Bahamas,1,0,5
Bahrain,1,1,0
Bangladesh,0,0,0
Barbados,0,0,0
Belarus,1,4,7
Belgium,2,17,2
Belize,0,0,0
Benin,0,0,0
Bermuda*,0,0,0
Bhutan,0,0,0
Bolivia,0,0,0
Bosnia and Herzegovina,0,0,0
Botswana,0,0,0
Brazil,37,8,6
British Virgin Islands,0,0,0
Brunei,0,0,0
Bulgaria,0,1,6
Burkina Faso,0,0,0
Burma,0,0,0
Burundi,0,1,0
Cambodia,0,0,0
Cameroon,0,0,0
Canada,4,4,61
Cape Verde,0,0,0
Cayman Islands*,0,0,0
Central African Rep.,0,0,0
Chad,0,0,0
Chile,0,0,0
China,46,30,37
Colombia,3,2,3
Comoros,0,0,0
Congo,0,0,0
Dem. Rep. Congo,0,0,0
Cook Islands,0,0,0
Costa Rica,0,0,0
Cote d'Ivoire,1,0,1
Croatia,7,15,2
Cuba,5,2,4
Cyprus,0,0,0
Czech Republic,1,2,12
Denmark,15,10,16
Djibouti,0,0,0
Dominica,0,0,0
Dominican Republic,0,0,1
East Timor (Timor-Leste),0,0,0
Ecuador,0,0,0
Egypt,0,0,3
El Salvador,0,0,0
Equatorial Guinea,0,0,0
Eritrea,0,0,0
Estonia,0,0,4
Ethiopia,1,2,5
Fiji,13,0,0
Finland,0,0,1
France,20,54,21
Gabon,0,0,0
Gambia,0,0,0
Georgia,2,1,4
Germany,49,44,67
Ghana,0,0,0
Greece,3,1,3
Grenada,0,1,0
Guam,0,0,0
Guatemala,0,0,0
Guinea,0,0,0
Guinea-Bissau,0,0,0
Guyana,0,0,0
Haiti,0,0,0
Honduras,0,0,0
Hong Kong*,0,0,0
Hungary,12,3,7
Iceland,0,0,0
India,0,1,1
Indonesia,2,2,0
Iran,3,1,4
Iraq,0,0,0
Ireland,0,3,0
Israel,0,0,2
Italy,8,40,24
Jamaica,11,17,2
Japan,17,13,35
Jordan,1,0,0
Kazakhstan,3,5,9
Kenya,6,6,1
"Korea, North",2,3,2
"Korea, South",13,3,10
Kyrgyzstan,0,0,0
Laos,0,0,0
Latvia,0,0,0
Lebanon,0,0,0
Lesotho,0,0,0
Liberia,0,0,0
Libya,0,0,0
Liechtenstein,0,0,0
Lithuania,0,2,5
Luxembourg,0,0,0
Macedonia,0,0,0
Madagascar,0,0,0
Malawi,0,0,0
Malaysia,0,7,1
Maldives,0,0,0
Mali,0,0,0
Malta,0,0,0
Mauritania,0,0,0
Mauritius,0,0,0
Mexico,0,3,2
Micronesia,0,0,0
Moldova,0,0,1
Monaco,0,0,0
Mongolia,0,1,1
Morocco,0,0,1
Mozambique,0,0,0
Namibia,0,0,0
Nauru,0,0,0
Nepal,0,0,0
Netherlands,9,25,13
New Zealand,6,25,5
Nicaragua,0,0,0
Niger,0,1,0
Nigeria,0,0,18
Norway,0,0,19
Oman,0,0,0
Pakistan,0,0,0
Palau,0,0,0
"Palestine, Occupied Territories",0,0,0
Panama,0,0,0
Papua New Guinea,0,0,0
Paraguay,0,0,0
Peru,0,0,0
Philippines,0,1,0
Poland,3,3,10
Portugal,0,0,1
Puerto Rico*,1,0,0
Qatar,0,1,0
Russia,52,29,34
Rwanda,0,0,0
Saint Kitts and Nevis,0,0,0
Saint Lucia,0,0,0
Saint Vincent and the Grenadines,0,0,0
Samoa,0,0,0
San Marino,0,0,0
Sao Tome and Principe,0,0,0
Saudi Arabia,0,0,0
Senegal,0,0,0
Seychelles,0,0,0
Sierra Leone,0,0,0
Singapore,1,0,0
Slovakia,3,5,0
Slovenia,1,2,1
Solomon Islands,0,0,0
Somalia,0,0,0
South Africa,2,7,14
Spain,9,19,17
Sri Lanka,0,0,0
Sudan,0,0,0
Suriname,0,0,0
Swaziland,0,0,0
Sweden,2,23,3
Switzerland,6,3,2
Syria,0,0,0
Taiwan,1,0,4
Tajikistan,1,0,0
Tanzania,0,0,0
Thailand,2,2,2
Togo,0,0,0
Tonga,0,0,0
Tunisia,0,0,3
Turkey,1,3,4
Turkmenistan,0,0,0
Uganda,0,0,0
Ukraine,2,8,5
United Arab Emirates,0,0,1
United Kingdom,64,55,26
United States of America,139,54,71
Uruguay,0,0,0
Uzbekistan,4,2,7
Vanuatu,0,0,0
Venezuela,0,1,2
Vietnam,1,1,0
Virgin Islands*,0,0,0
Yemen,0,0,0
Zambia,0,0,0
Zimbabwe,0,0,0
